Data Set 1:Time(s),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C)
106.6,25.2,25.1
106.7,25.2,25.0
106.8,25.2,25.1
106.9,25.2,25.1
107.0,25.3,25.1
107.1,25.2,25.1
107.2,25.3,25.1
107.3,25.3,25.0
107.4,25.3,25.1
107.5,25.2,24.9
107.6,25.2,25.0
107.7,25.2,25.1
107.8,25.2,25.0
107.9,25.2,25.1
108.0,25.2,25.1
108.1,25.2,25.1
108.2,25.2,25.0
108.3,25.5,25.2
108.4,25.1,25.1
108.5,25.2,25.0
108.6,25.2,25.0
108.7,25.2,25.1
108.8,25.3,25.0
108.9,25.1,25.1
109.0,25.3,25.1
109.1,25.3,25.0
109.2,25.1,25.0
109.3,25.2,25.1
109.4,25.2,25.1
109.5,25.1,25.0
109.6,25.1,25.1
109.7,25.1,25.1
109.8,25.2,25.0
109.9,25.2,25.1
110.0,25.2,25.0
110.1,25.3,25.1
110.2,25.2,25.0
110.3,25.1,25.1
110.4,25.2,25.0
110.5,25.3,25.0
110.6,25.2,25.0
110.7,25.2,25.1
110.8,25.2,25.1
110.9,25.1,25.0
111.0,25.2,25.0
111.1,25.2,25.0
111.2,25.2,25.1
111.3,25.2,25.0
111.4,25.2,25.0
111.5,25.2,25.1
111.6,25.1,25.1
111.7,25.2,25.1
111.8,25.1,25.0
111.9,25.2,25.0
112.0,25.1,25.0
112.1,25.3,25.2
112.2,25.2,25.0
112.3,25.3,25.0
112.4,25.1,25.0
112.5,25.2,25.1
112.6,25.2,25.1
112.7,25.2,25.0
112.8,25.3,25.1
112.9,25.4,25.2
113.0,25.2,25.0
113.1,25.2,25.0
113.2,25.2,25.0
113.3,25.3,25.0
113.4,25.1,25.0
113.5,25.2,25.0
113.6,25.3,25.2
113.7,25.1,25.0
113.8,25.1,25.0
